id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_tanaman,luas_tanaman,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,TBM,3.0,HEKTAR,2013
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,TM,34.0,HEKTAR,2013
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,TR/TTM,5.0,HEKTAR,2013
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TBM,198.0,HEKTAR,2013
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TM,6371.0,HEKTAR,2013
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TR/TTM,3317.0,HEKTAR,2013
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TBM,1017.0,HEKTAR,2013
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TM,7679.0,HEKTAR,2013
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TR/TTM,5521.0,HEKTAR,2013
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TBM,107.0,HEKTAR,2013
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TM,1583.0,HEKTAR,2013
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TR/TTM,11.0,HEKTAR,2013
13,32,JAWA BARAT,3205,KABUPATEN GARUT,TBM,70.0,HEKTAR,2013
14,32,JAWA BARAT,3205,KABUPATEN GARUT,TM,3049.0,HEKTAR,2013
15,32,JAWA BARAT,3205,KABUPATEN GARUT,TR/TTM,1190.0,HEKTAR,2013
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TBM,261.0,HEKTAR,2013
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TM,6662.0,HEKTAR,2013
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TR/TTM,2607.0,HEKTAR,2013
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TBM,0.0,HEKTAR,2013
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TM,480.0,HEKTAR,2013
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TR/TTM,417.0,HEKTAR,2013
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TBM,0.0,HEKTAR,2013
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TM,0.0,HEKTAR,2013
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TR/TTM,0.0,HEKTAR,2013
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,TBM,0.0,HEKTAR,2013
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,TM,0.0,HEKTAR,2013
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,TR/TTM,0.0,HEKTAR,2013
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TBM,145.0,HEKTAR,2013
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TM,292.0,HEKTAR,2013
